Var1 Freq
1 0 120
2 1e-04 588
3 2e-04 356
4 3e-04 145
5 4e-04 77
6 5e-04 75
7 6e-04 71
8 7e-04 68
9 8e-04 58
10 9e-04 54
11 0.001 48
12 0.0011 40
13 0.0012 40
14 0.0013 45
15 0.0014 45
16 0.0015 53
17 0.0016 54
18 0.0017 48
19 0.0018 64
20 0.0019 53
21 0.002 58
22 0.0021 52
23 0.0022 45
24 0.0023 40
25 0.0024 52
26 0.0025 45
27 0.0026 42
28 0.0027 37
29 0.0028 40
30 0.0029 55
31 0.003 39
32 0.0031 51
33 0.0032 43
34 0.0033 29
35 0.0034 43
36 0.0035 36
37 0.0036 37
38 0.0037 42
39 0.0038 33
40 0.0039 32
41 0.004 37
42 0.0041 31
43 0.0042 28
44 0.0043 32
45 0.0044 21
46 0.0045 17
47 0.0046 22
48 0.0047 22
49 0.0048 18
50 0.0049 23
51 0.005 6
