Var1 Freq
1 0 368
2 1e-04 748
3 2e-04 163
4 3e-04 131
5 4e-04 108
6 5e-04 57
7 6e-04 63
8 7e-04 45
9 8e-04 48
10 9e-04 50
11 0.001 60
12 0.0011 54
13 0.0012 59
14 0.0013 49
15 0.0014 54
16 0.0015 58
17 0.0016 59
18 0.0017 46
19 0.0018 46
20 0.0019 50
21 0.002 50
22 0.0021 57
23 0.0022 50
24 0.0023 50
25 0.0024 56
26 0.0025 33
27 0.0026 41
28 0.0027 32
29 0.0028 28
30 0.0029 19
31 0.003 36
32 0.0031 42
33 0.0032 19
34 0.0033 16
35 0.0034 23
36 0.0035 16
37 0.0036 18
38 0.0037 21
39 0.0038 15
40 0.0039 12
41 0.004 10
42 0.0041 7
43 0.0042 12
44 0.0043 7
45 0.0044 14
46 0.0045 5
47 0.0046 10
48 0.0047 7
49 0.0048 4
50 0.0049 2
51 0.005 4
52 0.0051 3
53 0.0052 3
54 0.0053 6
55 0.0054 6
56 0.0055 3
57 0.0056 6
58 0.0057 4
59 0.0058 8
60 0.0059 6
61 0.006 1
62 0.0061 2
63 0.0062 2
64 0.0063 2
65 0.0064 2
66 0.0065 4
67 0.0066 3
68 0.0067 3
69 0.0068 6
70 0.0069 3
71 0.007 6
72 0.0072 3
73 0.0073 3
74 0.0074 1
75 0.0075 2
76 0.0076 3
77 0.0077 4
78 0.0078 4
79 0.008 1
80 0.0081 3
81 0.0082 1
82 0.0087 1
83 0.0089 1
84 0.009 1
85 0.0093 2
86 0.0094 1
87 0.0095 2
88 0.01 3
89 0.0101 3
90 0.0102 1
91 0.0104 1
92 0.0108 4
93 0.0109 1
94 0.011 2
95 0.0111 2
96 0.0112 1
97 0.0113 1
98 0.0114 1
99 0.0118 2
100 0.012 2
101 0.0123 3
102 0.0124 1
103 0.0125 3
104 0.0128 1
105 0.0131 2
106 0.0141 1
107 0.0142 1
108 0.0143 1
109 0.0145 1
110 0.0146 1
111 0.0148 1
112 0.0153 1
113 0.0155 1
114 0.0158 1
115 0.0162 1
116 0.0166 2
117 0.0168 1
118 0.0176 1
119 0.0178 1
120 0.0185 2
121 0.0188 1
122 0.0196 1
123 0.0199 2
124 0.02 1
125 0.0213 1
126 0.0233 1
127 0.0244 1
128 0.0263 1
129 0.0317 1
130 0.0371 1
131 0.0433 1
132 0.0587 1
133 0.0626 1
134 0.0656 1
