Var1 Freq
1 0 483
2 1e-04 292
3 2e-04 109
4 3e-04 129
5 4e-04 81
6 5e-04 70
7 6e-04 43
8 7e-04 34
9 8e-04 33
10 9e-04 23
11 0.001 18
12 0.0011 20
13 0.0012 20
14 0.0013 24
15 0.0014 27
16 0.0015 39
17 0.0016 23
18 0.0017 27
19 0.0018 25
20 0.0019 18
21 0.002 24
22 0.0021 18
23 0.0022 13
24 0.0023 9
25 0.0024 18
26 0.0025 9
27 0.0026 17
28 0.0027 9
29 0.0028 10
30 0.0029 19
31 0.003 18
32 0.0031 12
33 0.0032 14
34 0.0033 17
35 0.0034 15
36 0.0035 24
37 0.0036 16
38 0.0037 9
39 0.0038 22
40 0.0039 19
41 0.004 18
42 0.0041 19
43 0.0042 20
44 0.0043 14
45 0.0044 19
46 0.0045 15
47 0.0046 23
48 0.0047 22
49 0.0048 17
50 0.0049 23
51 0.005 14
52 0.0051 20
53 0.0052 11
54 0.0053 22
55 0.0054 29
56 0.0055 23
57 0.0056 13
58 0.0057 24
59 0.0058 22
60 0.0059 23
61 0.006 30
62 0.0061 23
63 0.0062 23
64 0.0063 17
65 0.0064 24
66 0.0065 12
67 0.0066 20
68 0.0067 27
69 0.0068 21
70 0.0069 15
71 0.007 11
72 0.0071 24
73 0.0072 18
74 0.0073 12
75 0.0074 27
76 0.0075 20
77 0.0076 10
78 0.0077 15
79 0.0078 12
80 0.0079 11
81 0.008 11
82 0.0081 11
83 0.0082 15
84 0.0083 10
85 0.0084 16
86 0.0085 13
87 0.0086 13
88 0.0087 12
89 0.0088 13
90 0.0089 12
91 0.009 5
92 0.0091 11
93 0.0092 11
94 0.0093 15
95 0.0094 8
96 0.0095 8
97 0.0096 5
98 0.0097 7
99 0.0098 9
100 0.0099 9
101 0.01 1
102 0.0101 7
103 0.0102 5
104 0.0103 3
105 0.0104 9
106 0.0105 7
107 0.0106 7
108 0.0107 9
109 0.0108 8
110 0.0109 4
111 0.011 3
112 0.0111 3
113 0.0112 3
114 0.0113 7
115 0.0114 8
116 0.0115 5
117 0.0116 5
118 0.0117 5
119 0.0118 10
120 0.0119 3
121 0.012 3
122 0.0121 5
123 0.0122 5
124 0.0123 3
125 0.0124 3
126 0.0125 2
127 0.0126 4
128 0.0127 3
129 0.0128 7
130 0.0129 2
131 0.013 5
132 0.0131 2
133 0.0132 2
134 0.0133 2
135 0.0134 3
136 0.0135 2
137 0.0136 5
138 0.0137 3
139 0.0138 3
140 0.0139 6
141 0.014 4
142 0.0141 6
143 0.0142 4
144 0.0144 2
145 0.0145 2
146 0.0146 2
147 0.0147 3
148 0.0148 1
149 0.0149 3
150 0.015 4
151 0.0151 2
152 0.0152 1
153 0.0153 3
154 0.0154 2
155 0.0155 4
156 0.0156 1
157 0.0157 1
158 0.0158 1
159 0.0159 3
160 0.0161 1
161 0.0162 1
162 0.0165 3
163 0.0166 1
164 0.0167 1
165 0.017 2
166 0.0172 3
167 0.0175 2
168 0.0177 1
169 0.0178 4
170 0.018 1
171 0.0181 2
172 0.0183 1
173 0.0184 1
174 0.0185 1
175 0.0186 1
176 0.019 1
177 0.0194 1
178 0.0195 3
179 0.0196 1
180 0.0197 1
181 0.0198 2
182 0.02 1
183 0.0201 1
184 0.0202 2
185 0.0205 1
186 0.0206 1
187 0.0207 2
188 0.0208 1
189 0.0209 1
190 0.021 2
191 0.0211 1
192 0.0212 3
193 0.0218 1
194 0.022 1
195 0.0221 1
196 0.0224 2
197 0.0226 1
198 0.0227 1
199 0.0229 1
200 0.0232 2
201 0.0237 1
202 0.0239 1
203 0.0241 1
204 0.0246 1
205 0.0249 2
206 0.025 2
207 0.0254 2
208 0.0255 1
209 0.0256 2
210 0.0258 1
211 0.0259 3
212 0.0261 2
213 0.0263 1
214 0.0266 1
215 0.0275 1
216 0.0278 1
217 0.0279 1
218 0.0288 1
219 0.0291 1
220 0.0293 1
221 0.0297 2
222 0.0299 2
223 0.0304 2
224 0.0314 1
225 0.0317 1
226 0.0318 2
227 0.0321 1
228 0.0324 1
229 0.0327 1
230 0.0331 1
231 0.0333 1
232 0.0342 1
233 0.0344 1
234 0.0353 1
235 0.0369 1
236 0.0379 1
237 0.039 1
238 0.0391 1
239 0.0399 1
240 0.0409 1
241 0.041 1
242 0.0418 1
243 0.042 1
244 0.0429 1
245 0.0436 1
246 0.0443 1
247 0.0449 1
248 0.0456 1
249 0.0479 1
250 0.0485 1
251 0.0499 1
252 0.0508 2
253 0.0517 1
254 0.0521 1
255 0.0522 1
256 0.0526 1
257 0.056 1
258 0.0614 1
259 0.0623 1
260 0.063 1
261 0.0637 1
262 0.0645 1
263 0.0663 1
264 0.0712 1
265 0.0807 1
266 0.0863 1
267 0.0885 1
268 0.0904 1
269 0.095 1
270 0.0955 1
271 0.0996 1
272 0.1263 1
273 0.1357 1
274 0.1888 1
275 0.1926 1
276 0.2272 1
277 0.2306 1
278 0.2769 1
279 1.2876 1
