# non adaptive: 10M
# adaptive: 10K - 100M ...MSE=0.0015
# GPUS  tna	taQSUB		GPUs	taMPI(-1)
#1	1057	472    		1	220 (237)
#4	294	175		3	88
#8	155	108		7	43
#12	101	81		11
#16	78	88		15
#20	64	65		19
#24	54	54		23
#28	47	47		27
#32	41	44		31
#36	37	40		35
#40	33	40		39
#44	32	45		43
#48	29	35		47
#52	27	24
#56	26	31
#60	24	25
#64	23	25

# GPUS	su a	su no a	e a	e no a
#  1	1  	1     	1 	1
#  2	1.389	1.91	0.6945	0.955
#  3	1.955	2.775	0.651	0.925
#  4	2.21	3.58	0.55	0.895


#gpus                          adaptive_non_repetetive        non_adaptive                   adaptive_repetetive            
3                              23                             2645                           23                             
7                              16                             1139                           17                             
11                             13                             729                            14                             
15                             13                             537                            13                             
19                             12                             427                            12                             
23                             12                             355                            12                             
27                             12                             303                            12                             
31                             12                             266                            12                             
35                             11                             238                            11                             
39                             12                             214                            12                             
43                             11                             196                            12                             
47                             11                             180                            12                             
51                             11                             167                            12                             
55                             11                             156                            12                             
59                             11                             147                            11                             
63                             11                             137                            11    
