#nm	sigmaA	sigmaE
905	1.0843E-021	1.0949E-022
906	1.1652E-021	1.0949E-022
907	1.2465E-021	1.0949E-022
908	1.3585E-021	1.0949E-022
909	1.5374E-021	1.6424E-022
910	1.8543E-021	1.6424E-022
911	2.365E-021	2.1898E-022
912	3.0183E-021	2.7373E-022
913	3.6562E-021	3.2848E-022
914	3.9796E-021	3.8322E-022
915	3.8868E-021	3.8322E-022
916	3.4836E-021	3.8322E-022
917	2.9969E-021	3.2848E-022
918	2.6041E-021	3.2848E-022
919	2.3458E-021	3.2848E-022
920	2.2197E-021	3.2848E-022
921	2.1967E-021	3.2848E-022
922	2.2874E-021	3.3286E-022
923	2.5403E-021	3.8322E-022
924	2.9453E-021	4.5769E-022
925	3.4453E-021	5.4746E-022
926	3.8962E-021	6.5695E-022
927	4.1895E-021	7.117E-022
928	4.3569E-021	7.117E-022
929	4.47E-021	8.2119E-022
930	4.5095E-021	8.7594E-022
931	4.4625E-021	8.7594E-022
932	4.41E-021	9.0222E-022
933	4.5102E-021	9.6463E-022
934	4.8269E-021	1.0818E-021
935	5.378E-021	1.2044E-021
936	5.9707E-021	1.3709E-021
937	6.4435E-021	1.5329E-021
938	6.7809E-021	1.5876E-021
939	7.2119E-021	1.7223E-021
940	7.7796E-021	1.949E-021
941	7.987E-021	2.1898E-021
942	7.2672E-021	2.1417E-021
943	5.9521E-021	1.915E-021
944	4.6579E-021	1.6336E-021
945	3.6832E-021	1.4781E-021
946	3.0106E-021	1.3446E-021
947	2.5443E-021	1.2044E-021
948	2.2628E-021	1.1497E-021
949	2.1134E-021	1.1497E-021
950	2.0156E-021	1.1497E-021
951	1.915E-021	1.1497E-021
952	1.7937E-021	1.1497E-021
953	1.6899E-021	1.1497E-021
954	1.6645E-021	1.1803E-021
955	1.7078E-021	1.2975E-021
956	1.771E-021	1.4147E-021
957	1.8178E-021	1.4781E-021
958	1.8463E-021	1.5876E-021
959	1.8023E-021	1.6424E-021
960	1.679E-021	1.5876E-021
961	1.5362E-021	1.5329E-021
962	1.4591E-021	1.5154E-021
963	1.4873E-021	1.6325E-021
964	1.6231E-021	1.8592E-021
965	1.8945E-021	2.3103E-021
966	2.4702E-021	3.022E-021
967	3.7646E-021	4.6424E-021
968	5.7084E-021	6.9351E-021
969	6.3476E-021	7.4641E-021
970	4.3834E-021	5.9235E-021
971	2.3934E-021	3.5334E-021
972	1.3819E-021	2.2862E-021
973	9.4905E-022	1.7398E-021
974	7.7698E-022	1.5329E-021
975	7.306E-022	1.5329E-021
976	7.5993E-022	1.7322E-021
977	8.4281E-022	2.0136E-021
978	9.2292E-022	2.2402E-021
979	9.5833E-022	2.3574E-021
980	9.3697E-022	2.4088E-021
981	8.9404E-022	2.3541E-021
982	8.4109E-022	2.4088E-021
983	7.7558E-022	2.3201E-021
984	7.1163E-022	2.1898E-021
985	6.6307E-022	2.1843E-021
986	6.3811E-022	2.1898E-021
987	6.081E-022	2.1898E-021
988	5.7017E-022	2.1351E-021
989	5.3911E-022	2.1099E-021
990	5.1425E-022	2.0804E-021
991	5.0481E-022	2.1756E-021
992	5.1408E-022	2.3475E-021
993	5.276E-022	2.5183E-021
994	5.3686E-022	2.6278E-021
995	5.3727E-022	2.7373E-021
996	5.5002E-022	2.9256E-021
997	5.7941E-022	3.207E-021
998	6.1268E-022	3.5279E-021
999	6.3486E-022	3.7698E-021
1000	6.2934E-022	3.887E-021
1001	6.0185E-022	3.8793E-021
1002	5.6937E-022	3.7775E-021
1003	5.6475E-022	3.9647E-021
1004	5.7233E-022	4.2461E-021
1005	5.8042E-022	4.4728E-021
1006	5.7525E-022	4.5899E-021
1007	5.4681E-022	4.5987E-021
1008	4.9746E-022	4.3731E-021
1009	4.404E-022	4.037E-021
1010	4.0114E-022	3.8322E-021
1011	3.7831E-022	3.8322E-021
1012	3.5785E-022	3.8322E-021
1013	3.4115E-022	3.7775E-021
1014	3.2155E-022	3.7227E-021
1015	3.0648E-022	3.668E-021
1016	2.9771E-022	3.7358E-021
1017	3.039E-022	3.9833E-021
1018	3.2117E-022	4.4652E-021
1019	3.6008E-022	5.1264E-021
1020	4.0557E-022	6.0223E-021
1021	4.8326E-022	7.5792E-021
1022	5.8911E-022	9.5647E-021
1023	6.882E-022	1.135E-020
1024	7.6789E-022	1.3003E-020
1025	8.2007E-022	1.448E-020
1026	8.3334E-022	1.527E-020
1027	8.6767E-022	1.6742E-020
1028	9.8583E-022	2.0284E-020
1029	1.1395E-021	2.4119E-020
1030	1.1599E-021	2.4778E-020
1031	9.4877E-022	2.1891E-020
1032	6.6507E-022	1.6177E-020
1033	4.5091E-022	1.1522E-020
1034	3.2125E-022	8.5205E-021
1035	2.3524E-022	6.6077E-021
1036	1.8686E-022	5.4109E-021
1037	1.475E-022	4.6241E-021
1038	1.2729E-022	4.1257E-021
1039	1.1113E-022	3.7271E-021
1040	9.1857E-023	3.3287E-021
1041	7.7878E-023	3.0253E-021
1042	7.0383E-023	2.7921E-021
1043	6.4786E-023	2.6278E-021
1044	6.2033E-023	2.6914E-021
1045	6.0315E-023	2.8633E-021
1046	6.3117E-023	3.1446E-021
1047	6.8965E-023	3.3713E-021
1048	7.3565E-023	3.5038E-021
1049	6.4975E-023	3.449E-021
1050	5.895E-023	3.1753E-021
1051	4.8252E-023	2.6672E-021
1052	3.6365E-023	2.2138E-021
1053	2.9731E-023	1.8384E-021
1054	2.2712E-023	1.557E-021
1055	1.7948E-023	1.3852E-021
1056	1.4794E-023	1.2592E-021
1057	1.1256E-023	1.1497E-021
1058	1.0315E-023	1.0402E-021
1059	9.7133E-024	9.7118E-022
1060	9.5548E-024	8.7594E-022
1061	4.3888E-024	8.2119E-022
1062	4.6497E-024	7.6645E-022
1063	5.7593E-024	7.6645E-022
1064	5.9795E-024	7.117E-022
1065	5.9207E-024	6.5695E-022
1066	3.584E-024	6.5695E-022
1067	4.8332E-024	6.0221E-022
1068	1.0693E-024	6.0221E-022
1069	4.6142E-024	6.0221E-022
1070	6.0919E-024	5.5837E-022
1071	5.238E-024	5.4746E-022
1072	6.4188E-024	5.4746E-022
1073	5.0895E-024	5.4746E-022
1074	2.9632E-024	4.9272E-022
1075	5.9679E-024	4.9272E-022
1076	4.8023E-024	4.9272E-022
1077	9.3467E-024	4.9272E-022
1078	6.1857E-024	4.4229E-022
1079	8.5944E-024	4.3797E-022
1080	9.5909E-024	4.2707E-022
1081	9.6766E-024	3.8322E-022
1082	1.1081E-023	3.8322E-022
1083	1.038E-023	3.8322E-022
1084	1.1984E-023	3.8322E-022
1085	1.2508E-023	3.2848E-022
1086	1.0958E-023	3.2848E-022
1087	1.2969E-023	3.2848E-022
1088	1.1821E-023	3.2848E-022
1089	1.6904E-023	3.2848E-022
1090	1.5219E-023	2.7373E-022
1091	1.8343E-023	2.7373E-022
1092	1.8273E-023	2.7373E-022
1093	1.6366E-023	2.7373E-022
1094	1.9119E-023	2.7373E-022
1095	2.1775E-023	2.7373E-022
